YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 07 12 00 332 12.5 15.6 99.00 99.00 99.00 999 1028.4  -5.4 999.0 999.0 99.0 99.00
2019 01 07 13 00 334 13.1 14.5 99.00 99.00 99.00 999 1029.1  -5.7 999.0 999.0 99.0 99.00
2019 01 07 14 00 343 11.4 13.7 99.00 99.00 99.00 999 1029.9  -5.4 999.0 999.0 99.0 99.00
2019 01 07 15 00 350 10.5 12.8 99.00 99.00 99.00 999 1030.5  -5.2 999.0 999.0 99.0 99.00
2019 01 07 16 00 331  7.8  8.7 99.00 99.00 99.00 999 1030.3  -4.6 999.0 999.0 99.0 99.00
2019 01 07 17 00 346  6.4  7.3 99.00 99.00 99.00 999 1029.5  -3.6 999.0 999.0 99.0 99.00
2019 01 07 18 00 351  7.3  8.5 99.00 99.00 99.00 999 1029.2  -2.9 999.0 999.0 99.0 99.00
2019 01 07 19 00 341  5.9  8.1 99.00 99.00 99.00 999 1029.6  -2.3 999.0 999.0 99.0 99.00
2019 01 07 20 00 334  6.4  7.8 99.00 99.00 99.00 999 1030.1  -1.7 999.0 999.0 99.0 99.00
2019 01 07 21 00 340  4.2  4.7 99.00 99.00 99.00 999 1030.6  -1.4 999.0 999.0 99.0 99.00
2019 01 07 22 00  26  3.1  4.0 99.00 99.00 99.00 999 1030.1  -1.6 999.0 999.0 99.0 99.00
2019 01 07 23 00 346  3.3  4.0 99.00 99.00 99.00 999 1030.6  -1.5 999.0 999.0 99.0 99.00
2019 01 08 00 00  17  3.7  4.2 99.00 99.00 99.00 999 1030.0  -1.6 999.0 999.0 99.0 99.00
2019 01 08 01 00  56  3.0  3.5 99.00 99.00 99.00 999 1029.7  -1.4 999.0 999.0 99.0 99.00
2019 01 08 02 00  44  0.7  1.0 99.00 99.00 99.00 999 1030.1  -1.3 999.0 999.0 99.0 99.00
2019 01 08 03 00  73  4.4  5.5 99.00 99.00 99.00 999 1029.0  -1.3 999.0 999.0 99.0 99.00
2019 01 08 04 00 127  4.1  5.4 99.00 99.00 99.00 999 1028.8  -1.0 999.0 999.0 99.0 99.00
2019 01 08 05 00 152  3.3  4.2 99.00 99.00 99.00 999 1028.4  -0.8 999.0 999.0 99.0 99.00
2019 01 08 06 00 159  6.0  6.7 99.00 99.00 99.00 999 1027.8   0.0 999.0 999.0 99.0 99.00
2019 01 08 07 00 152  5.5  7.2 99.00 99.00 99.00 999 1028.4   0.5 999.0 999.0 99.0 99.00
2019 01 08 08 00 144  5.9  6.7 99.00 99.00 99.00 999 1026.9   1.1 999.0 999.0 99.0 99.00
2019 01 08 09 00 174  7.4  8.4 99.00 99.00 99.00 999 1026.1   1.7 999.0 999.0 99.0 99.00
2019 01 08 10 00 159 10.5 11.5 99.00 99.00 99.00 999 1023.9   2.2 999.0 999.0 99.0 99.00
2019 01 08 11 00 167 12.1 13.3 99.00 99.00 99.00 999 1023.4   3.0 999.0 999.0 99.0 99.00
2019 01 08 12 00 166 11.4 12.1 99.00 99.00 99.00 999 1022.2   3.9 999.0 999.0 99.0 99.00
2019 01 08 13 00 177 11.8 13.0 99.00 99.00 99.00 999 1022.0   4.3 999.0 999.0 99.0 99.00
2019 01 08 14 00 182 10.3 11.5 99.00 99.00 99.00 999 1021.6   4.6 999.0 999.0 99.0 99.00
2019 01 08 15 00 162  8.6  9.2 99.00 99.00 99.00 999 1020.5   4.8 999.0 999.0 99.0 99.00
2019 01 08 16 00 161  6.2  7.0 99.00 99.00 99.00 999 1018.7   5.4 999.0 999.0 99.0 99.00
2019 01 08 17 00 147  6.7  7.2 99.00 99.00 99.00 999 1016.6   5.7 999.0 999.0 99.0 99.00
2019 01 08 18 00 135  7.3  7.8 99.00 99.00 99.00 999 1014.7   5.8 999.0 999.0 99.0 99.00
2019 01 08 19 00 119  8.5  9.0 99.00 99.00 99.00 999 1012.7   5.8 999.0 999.0 99.0 99.00
2019 01 08 20 00 120  7.8  8.1 99.00 99.00 99.00 999 1011.6   6.2 999.0 999.0 99.0 99.00
2019 01 08 21 00 124  5.8  6.0 99.00 99.00 99.00 999 1010.2   7.1 999.0 999.0 99.0 99.00
2019 01 08 22 00 169  6.1  6.2 99.00 99.00 99.00 999 1009.4   7.8 999.0 999.0 99.0 99.00
2019 01 08 23 00 186  6.2  6.4 99.00 99.00 99.00 999 1008.5   7.8 999.0 999.0 99.0 99.00
2019 01 09 00 00 210  6.9  7.3 99.00 99.00 99.00 999 1007.6   8.6 999.0 999.0 99.0 99.00
2019 01 09 01 00 210  4.9  5.0 99.00 99.00 99.00 999 1006.7   8.0 999.0 999.0 99.0 99.00
2019 01 09 02 00 242  5.1  5.4 99.00 99.00 99.00 999 1006.1   7.5 999.0 999.0 99.0 99.00
2019 01 09 03 00 258  3.9  4.1 99.00 99.00 99.00 999 1004.8   7.1 999.0 999.0 99.0 99.00
2019 01 09 04 00 258  3.4  3.6 99.00 99.00 99.00 999 1003.4   7.0 999.0 999.0 99.0 99.00
2019 01 09 05 00 208  3.9  4.1 99.00 99.00 99.00 999 1001.8   6.8 999.0 999.0 99.0 99.00
2019 01 09 06 00 217  6.4  6.7 99.00 99.00 99.00 999 1000.5   7.0 999.0 999.0 99.0 99.00
2019 01 09 07 00 195  3.4  3.6 99.00 99.00 99.00 999  999.2   6.9 999.0 999.0 99.0 99.00
2019 01 09 08 00 217  3.9  4.4 99.00 99.00 99.00 999  998.7   7.0 999.0 999.0 99.0 99.00
2019 01 09 09 00 214  3.5  3.6 99.00 99.00 99.00 999  997.3   6.9 999.0 999.0 99.0 99.00
2019 01 09 10 00 217  5.7  6.1 99.00 99.00 99.00 999  996.2   6.7 999.0 999.0 99.0 99.00
2019 01 09 11 00 243 14.3 16.6 99.00 99.00 99.00 999  995.7   7.0 999.0 999.0 99.0 99.00
2019 01 09 12 00 246 15.9 17.5 99.00 99.00 99.00 999  995.3   6.4 999.0 999.0 99.0 99.00
2019 01 09 13 00 256 16.8 17.8 99.00 99.00 99.00 999  995.3   6.3 999.0 999.0 99.0 99.00
2019 01 09 14 00 253 16.8 19.2 99.00 99.00 99.00 999  995.5   6.4 999.0 999.0 99.0 99.00
2019 01 09 15 00 254 18.5 20.3 99.00 99.00 99.00 999  995.1   6.4 999.0 999.0 99.0 99.00
2019 01 09 16 00 265 15.6 16.9 99.00 99.00 99.00 999  994.5   6.9 999.0 999.0 99.0 99.00
2019 01 09 17 00 273 16.0 18.2 99.00 99.00 99.00 999  993.9   7.1 999.0 999.0 99.0 99.00
2019 01 09 18 00 279 16.9 19.2 99.00 99.00 99.00 999  994.1   6.9 999.0 999.0 99.0 99.00
2019 01 09 19 00 283 13.4 15.6 99.00 99.00 99.00 999  995.2   6.1 999.0 999.0 99.0 99.00
2019 01 09 20 00 286 13.2 15.2 99.00 99.00 99.00 999  995.6   6.3 999.0 999.0 99.0 99.00
2019 01 09 21 00 285 14.6 16.9 99.00 99.00 99.00 999  996.4   6.1 999.0 999.0 99.0 99.00
2019 01 09 22 00 287 15.3 17.9 99.00 99.00 99.00 999  997.4   5.3 999.0 999.0 99.0 99.00
2019 01 09 23 00 281 15.2 16.1 99.00 99.00 99.00 999  998.4   5.0 999.0 999.0 99.0 99.00
2019 01 10 00 00 280 12.8 15.2 99.00 99.00 99.00 999  998.9   4.5 999.0 999.0 99.0 99.00
2019 01 10 01 00 281 12.8 14.2 99.00 99.00 99.00 999  998.8   4.0 999.0 999.0 99.0 99.00
2019 01 10 02 00 277 14.2 16.3 99.00 99.00 99.00 999  998.7   3.3 999.0 999.0 99.0 99.00
2019 01 10 03 00 280 14.2 17.2 99.00 99.00 99.00 999  998.2   2.8 999.0 999.0 99.0 99.00
